cluster,iso3,language_name,family
2,gaz,West Central Oromo,F Oromoid
2,wol,Wolof,F Wolof
2,xho,Xhosa,F Bantoid
2,yor,Yoruba,F Ede
2,zul,Zulu,F Bantoid
3,quy,Ayacucho Quechua,F Quechuan
3,ayr,Central Aymara,F Aymara
3,hat,Haitian Creole,F Oil
3,pap,Papiamento,F Italic
4,fij,Fijian,F Oceanic
4,mri,Maori,F Oceanic
4,smo,Samoan,F Oceanic
4,tpi,Tok Pisin,F Anglian
5,hye,Armenian,F Armenian
5,ast,Asturian,F Italic
5,bak,Bashkir,F Oghuz
5,eus,Basque,Unknown
5,bel,Belarusian,F Slavic
5,bos,Bosnian,F Slavic
5,bul,Bulgarian,F Slavic
5,cat,Catalan,F Italic
5,tzm,Central Atlas Tamazight,F Berber
5,ckb,Central Kurdish,F Iranian
5,crh,Crimean Tatar,F Oghuz
5,hrv,Croatian,F Slavic
5,ces,Czech,F Slavic
5,dan,Danish,F Danic
5,nld,Dutch,F Germanic
5,ydd,Eastern Yiddish,F Yiddish
5,arz,Egyptian Arabic,F Arabic
5,eng,English,F Anglian
5,est,Estonian,F Uralic
5,fao,Faroese,F Germanic
5,fin,Finnish,F Uralic
5,fra,French,F Oil
5,glg,Galician,F Italic
5,kat,Georgian,F Georgic
5,deu,German,F Germanic
5,ell,Greek,F Greek
5,heb,Hebrew,F Semitic
5,hun,Hungarian,F Uralic
5,isl,Icelandic,F Germanic
5,gle,Irish,F Celtic
5,ita,Italian,F Italic
5,kab,Kabyle,F Berber
5,lij,Ligurian,F Italic
5,lit,Lithuanian,F Balto-Slavic
5,ltz,Luxembourgish,F Germanic
5,mkd,Macedonian,F Slavic
5,mlt,Maltese,F Arabic
5,acm,Mesopotamian Arabic,F Arabic
5,arb,Modern Standard Arabic,F Arabic
5,ary,Moroccan Arabic,F Arabic
5,ars,Najdi Arabic,F Arabic
5,azj,North Azerbaijani,F Oghuz
5,apc,North Levantine Arabic,F Arabic
5,kmr,Northern Kurdish,F Iranian
5,nob,Norwegian Bokmål,Unknown
5,oci,Occitan,F Italic
5,pol,Polish,F Slavic
5,por,Portuguese,F Italic
5,ron,Romanian,F Italic
5,rus,Russian,F Slavic
5,gla,Scottish Gaelic,F Celtic
5,srp,Serbian,F Slavic
5,scn,Sicilian,F Italic
5,slk,Slovak,F Slavic
5,slv,Slovenian,F Slavic
5,azb,South Azerbaijani,F Oghuz
5,ajp,South Levantine Arabic,F Arabic
5,spa,Spanish,F Italic
5,swe,Swedish,F Germanic
5,tat,Tatar,F Oghuz
5,als,Tosk Albanian,F Albanian
5,aeb,Tunisian Arabic,F Arabic
5,tur,Turkish,F Oghuz
5,ukr,Ukrainian,F Slavic
5,vec,Venetian,F Italic
5,cym,Welsh,F Celtic
5,pes,Western Persian,F Farsic
